silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
avaliacao,tipo_feedback_continuo,dbo__TIPO_FEEDBACK_CONTINUO,dbo.TIPO_FEEDBACK_CONTINUO,DIM,REUSE_AS_DIM,DIM_TIPO_FEEDBACK_CONTINUO,,7,8,implemented,3,
colaborador,pessoa,dbo__COLABORADOR,dbo.COLABORADOR,DIM,REUSE_AS_DIM,DIM_PESSOA,,12408,8765,implemented,1,
colaborador,vinculo_area,dbo__COLABORADOR_AREA,dbo.COLABORADOR_AREA,BRIDGE,REUSE_AS_BRIDGE,BRG_VINCULO_AREA,,34206,20593,implemented,1,
colaborador,historico_area,dbo__HISTORICO_COLABORADOR_AREA,dbo.HISTORICO_COLABORADOR_AREA,BRIDGE,REUSE_AS_BRIDGE,BRG_HISTORICO_AREA,,14821,5937,implemented,1,
colaborador,historico_cargo,dbo__HISTORICO_CARGO,dbo.HISTORICO_CARGO,FACT,REUSE_AS_FACT,FACT_HISTORICO_CARGO,,2149,9891,implemented,1,
colaborador,pessoa_cdc,colaborador,cdc.colaborador,UNKNOWN,REFINE,,,,,implemented,1,ReplacingMergeTree CDC; subset de colunas
colaborador,colaborador_funcao,competences__COLABORADOR_FUNCAO,competences.COLABORADOR_FUNCAO,BRIDGE,REUSE_AS_BRIDGE,BRG_COLABORADOR_FUNCAO,,15961,16576,implemented,9,
colaborador,administrador_local,dbo__ADMINISTRADOR_LOCAL,dbo.ADMINISTRADOR_LOCAL,DIM,REUSE_AS_DIM,DIM_ADMINISTRADOR_LOCAL,,0,13,implemented,9,
colaborador,avaliador_forum,dbo__AVALIADOR_FORUM,dbo.AVALIADOR_FORUM,FACT,REUSE_AS_FACT,FACT_AVALIADOR_FORUM,,5449,0,implemented,9,
colaborador,avaliador_forum_sucessao,dbo__AVALIADOR_FORUM_SUCESSAO,dbo.AVALIADOR_FORUM_SUCESSAO,DIM,REUSE_AS_DIM,DIM_AVALIADOR_FORUM_SUCESSAO,,1,0,implemented,9,
colaborador,avaliado_sucessao,dbo__AVALIADO_SUCESSAO,dbo.AVALIADO_SUCESSAO,DIM,REUSE_AS_DIM,DIM_AVALIADO_SUCESSAO,,1,0,implemented,9,
colaborador,absence,dbo__Absence,dbo.Absence,DEFER,REFINE,,,0,0,implemented,9,
colaborador,accept_agreement_history,dbo__AcceptAgreementHistory,dbo.AcceptAgreementHistory,FACT,REUSE_AS_FACT,FACT_ACCEPT_AGREEMENT_HISTORY,,31098,1913,implemented,9,
colaborador,accept_agreement_signature_attachment,dbo__AcceptAgreementSignatureAttachment,dbo.AcceptAgreementSignatureAttachment,DIM,REUSE_AS_DIM,DIM_ACCEPT_AGREEMENT_SIGNATURE_ATTACHMENT,,1,0,implemented,9,
colaborador,activity_history,dbo__ActivityHistory,dbo.ActivityHistory,FACT,REUSE_AS_FACT,FACT_ACTIVITY_HISTORY,,5667,21,implemented,9,
