erp_key,bronze,diff_type,rows_staging,rows_afya,rows_allos,staging_only_data
dbo.EducationAttachment,dbo__EducationAttachment,present_both,2,287,52,no
dbo.EffectivenessEvaluation,dbo__EffectivenessEvaluation,present_both,45,0,0,yes
dbo.EligibleDiscretionary,dbo__EligibleDiscretionary,present_both,30,4101,3,no
dbo.EmployeeAccessGroup,dbo__EmployeeAccessGroup,present_both,1496,144,5496,no
dbo.EmployeeAnalyticResult,dbo__EmployeeAnalyticResult,present_both,20,4090,10254,no
dbo.EmployeeBranch,dbo__EmployeeBranch,present_both,3,184,94,no
dbo.EmployeeGuest,dbo__EmployeeGuest,present_both,0,0,0,no
dbo.EmployeeModifierMonthlyGoal,dbo__EmployeeModifierMonthlyGoal,present_both,0,0,0,no
dbo.EmployeeModifierMonthlyValue,dbo__EmployeeModifierMonthlyValue,present_both,0,0,0,no
dbo.EmployeeModifierValue,dbo__EmployeeModifierValue,present_both,22,2052,5019,no
dbo.EvaluationCycleInstance,dbo__EvaluationCycleInstance,present_both,86,453,0,no
dbo.EvaluationCycleInstanceParticipant,dbo__EvaluationCycleInstanceParticipant,present_both,120,14997,0,no
dbo.EvaluationCycleQuadrant,dbo__EvaluationCycleQuadrant,present_both,1070,111,0,no
dbo.EvaluationCycleQuadrantPersonalization,dbo__EvaluationCycleQuadrantPersonalization,present_both,126,0,0,yes
dbo.EvaluationDiscretionary,dbo__EvaluationDiscretionary,present_both,29,4030,3,no
dbo.ExtractControl,dbo__ExtractControl,present_both,12,0,0,yes
dbo.ExtractEmployeeOptions,dbo__ExtractEmployeeOptions,present_both,2,0,0,yes
dbo.ExtractMigration,dbo__ExtractMigration,present_both,0,0,0,no
dbo.FAIXA_CLASSIFICACAO,dbo__FAIXA_CLASSIFICACAO,present_both,3,0,0,yes
dbo.FAIXA_CLASSIFICACAO_PERFORMANCE,dbo__FAIXA_CLASSIFICACAO_PERFORMANCE,present_both,3,0,0,yes
dbo.FAIXA_FAROL,dbo__FAIXA_FAROL,present_both,47,2,2,no
dbo.FAIXA_FAROL_ITEM,dbo__FAIXA_FAROL_ITEM,present_both,162,7,6,no
dbo.FAROL,dbo__FAROL,present_both,8,8,8,no
dbo.FEEDBACK_CONTINUO,dbo__FEEDBACK_CONTINUO,present_both,138,321,14,no
dbo.FILIAL,dbo__FILIAL,present_both,17,85,94,no
dbo.FORMULARIO,dbo__FORMULARIO,present_both,0,0,0,no
dbo.FORMULARIO_AVALIACAO_ABA,dbo__FORMULARIO_AVALIACAO_ABA,present_both,4,0,0,yes
dbo.FORMULARIO_AVALIACAO_ABA_ITEM,dbo__FORMULARIO_AVALIACAO_ABA_ITEM,present_both,4,0,0,yes
dbo.FORMULARIO_AVALIACAO_SUCESSAO,dbo__FORMULARIO_AVALIACAO_SUCESSAO,present_both,32,0,0,yes
dbo.FORMULARIO_FEEDBACK_ABA,dbo__FORMULARIO_FEEDBACK_ABA,present_both,8,0,23,no
dbo.FORMULARIO_FEEDBACK_ABA_ITEM,dbo__FORMULARIO_FEEDBACK_ABA_ITEM,present_both,8,0,23,no
dbo.FORUM_CALIBRAGEM_SUCESSAO,dbo__FORUM_CALIBRAGEM_SUCESSAO,present_both,11,1,0,no
dbo.FORUM_PARTICIPANTE_SUCESSAO,dbo__FORUM_PARTICIPANTE_SUCESSAO,present_both,15,1,0,no
dbo.FORUM_QUADRANTE_SUCESSAO_MODELO,dbo__FORUM_QUADRANTE_SUCESSAO_MODELO,present_both,160,9,0,no
dbo.FREQUENCIA_ACOMP,dbo__FREQUENCIA_ACOMP,present_both,9,9,9,no
